Word(s),Spoken Form (If Different)
admin
VPN
DNS
under-documented,under documented

IVControl,ivy control
SOUL,soul
IPlug,I plug
iPlug2,iPlug to
IGraphics,eye graphics
IBitmap,I bit map
IControl,I control
SVG
ISVG,I SVG
JUCE,juice
ImGui,im gooey
OpenGL,opengl
SKIA,skier
MaxMSP,maximus pea

Ableton, ableton
Logic
Reaper
Fruity Loops
Windows
Slack
Max
iPad
macOS
iOS




